scientificName,PopulationSize.range
Egretta eulophotes,2500-9999
Ardea humbloti,1000
Ardeola idae,1300-4000
Agamia agami,NA
Botaurus poiciloptilus,1000-2499
Geronticus calvus,3300-4000
Mycteria cinerea,1500
Leptoptilos dubius,800-1200
Hydrornis schneideri,2500-9999
Pitta superba,250-999
Pitta steerii,2500-9999
Erythropitta venusta,2500-9999
Pitta anerythra,250-999
Pseudocalyptomena graueri,2500-9999
Hemitriccus furcatus,2500-9999
Zimmerius cinereicapilla,U
Elaenia ridleyana,500
Anairetes alpinus,150-700
Pogonotriccus lanyoni,600-1700
Phylloscartes roquettei,1500-7000
Onychorhynchus occidentalis,2500-9999
Lathrotriccus griseipectus,2500-9999
Agriornis albicauda,1500-7000
Alectrurus risora,6000-15000
Attila torridus,2500-9999
Lipaugus conditus,600-1700
Doliornis remseni,2500-9999
Zaratornis stresemanni,1000-4000
Iodopleura pipra,250-2499
Cotinga ridgwayi,1500-7000
Cephalopterus glabricollis,1000-2499
Cephalopterus penduliger,6000-15000
Procnias tricarunculatus,6000-15000
Lepidothrix iris,U
Lepidothrix vilasboasi,2500-9999
Chloropipo flavicapilla,6700
Neopelma aurifrons,1000-2499
Myrmotherula surinamensis,NA
Myrmotherula minor,2500-9999
Myrmotherula urosticta,1500-7000
Herpsilochmus parkeri,250-999
Herpsilochmus axillaris,U
Euchrepomis sharpei,1500-7000
Pyriglena atra,600-1700
Rhopornis ardesiacus,600-1700
Myrmoborus lugubris,U
Myrmoborus melanurus,U
Ampelornis griseiceps,2500-9999
Rhegmatorhina gymnops,U
Leptasthenura xenothorax,250-999
Asthenes perijana,150-700
Asthenes helleri,U
Synallaxis courseni,600-1700
Synallaxis infuscata,250-999
Synallaxis fuscorufa,2500-9999
Synallaxis zimmeri,600-1700
Cranioleuca curtata,U
Cranioleuca muelleri,U
Thripophaga macroura,1500-7000
Cranioleuca berlepschi,600-1700
Synallaxis hypochondriaca,6000-15000
Premnoplex tatei,1700-7000
Syndactyla ruficollis,1500-7000
Xiphocolaptes falcirostris,2500-9999
Dendrocolaptes hoffmannsi,U
Grallaria excelsa,2500-9999
Grallaria kaestneri,330-800
Grallaria bangsi,2500-9999
Grallaria milleri,1500-7000
Scytalopus panamensis,6000-15000
Atrichornis rufescens,NA
Atrichornis clamosus,1000-1500
Stipiturus mallee,7500-35500
Amytornis woodwardi,10000
Amytornis dorotheae,14000
Myzomela chermesina,10000-19999
Gymnomyza samoensis,250-999
Grantiella picta,2500-10000
Manorina melanotis,250-999
Pardalotus quadragintus,1000-1500
Dasyornis longirostris,1000
Dasyornis brachypterus,2550
Petroica traversi,230
Chloropsis flavipennis,600-1700
Mohoua ochrocephala,1000-3333
Pachycephala rufogularis,2000
Garrulus lidthi,3900
Urocissa ornata,9000-19500
Urocissa whiteheadi,1000-2499
Zavattariornis stresemanni,10000-19999
Corvus leucognaphalus,1500-7000
Corvus hawaiiensis,NA
Paradisaea decora,450
Paradisornis rudolphi,2500-9999
Oriolus mellianus,1000-2499
Lalage typica,600-700
Lalage newtoni,66
Edolisoma ostentum,6000-15000
Rhipidura malaitae,250-999
Rhipidura semirubra,1500-7000
Dicrurus fuscipennis,70
Dicrurus waldenii,5000
Mayrornis schistaceus,4000
Metabolus rugensis,1000-2499
Symposiachrus julianae,2500-9999
Symposiachrus brehmii,2500-9999
Metabolus takatsukasae,NA
Malaconotus gladiator,2500-9999
Prionops alberti,2500-9999
Prionops gabela,600-1700
Platysteira laticincta,2500-9999
Picathartes oreas,2500-9999
Myophonus blighi,600-1700
Myadestes obscurus,NA
Cichlopsis leucogenys,1000-2499
Turdus ludoviciae,6000-15000
Cyornis brunneatus,2500-9999
Vauriella insignis,2500-9999
Vauriella albigularis,2500-9999
Fraseria lendu,2500-9999
Humblotia flavirostris,6000-15000
