scientificName,redlistCategory,actions,other_threats,smallpop
Tachycineta euchrysea,Vulnerable,yes,NA,NA
Progne sinaloae,Vulnerable,NA,NA,NA
Hirundo megaensis,Vulnerable,NA,NA,NA
Pycnonotus taivanus,Vulnerable,yes,NA,NA
Pycnonotus xantholaemus,Vulnerable,NA,yes,yes
Chlorocichla prigoginei,Endangered,NA,NA,NA
Xanthomixis apperti,Vulnerable,NA,NA,NA
Crossleyia tenebrosa,Vulnerable,NA,NA,NA
Setornis criniger,Vulnerable,NA,NA,NA
Hypsipetes parvirostris,Vulnerable,NA,NA,NA
Hypsipetes olivaceus,Vulnerable,yes,NA,yes
Prinia cinereocapilla,Vulnerable,NA,yes,NA
Zosterops melanocephalus,Vulnerable,NA,NA,NA
Zosterops brunneus,Vulnerable,NA,NA,NA
Zosterops mouroniensis,Vulnerable,NA,NA,NA
Zosterops griseovirescens,Vulnerable,NA,NA,NA
Zosterops splendidus,Vulnerable,NA,NA,NA
Zosterops luteirostris,Endangered,NA,NA,yes
Zosterops samoensis,Vulnerable,NA,NA,NA
Rukia ruki,Endangered,NA,NA,NA
Madanga ruficollis,Endangered,NA,NA,NA
Bradypterus graueri,Endangered,NA,NA,NA
Bradypterus sylvaticus,Vulnerable,NA,NA,yes
Acrocephalus rehsei,Vulnerable,NA,NA,NA
Acrocephalus familiaris,Critically Endangered,yes,yes,NA
Acrocephalus caffer,Endangered,NA,yes,yes
Acrocephalus vaughani,Endangered,NA,NA,NA
Newtonia fanovanae,Vulnerable,NA,NA,NA
Macrosphenus pulitzeri,Endangered,NA,NA,NA
Phylloscopus ijimae,Vulnerable,NA,NA,NA
Phylloscopus amoenus,Vulnerable,NA,NA,NA
Hyliota usambara,Endangered,NA,NA,NA
Schoenicola platyurus,Vulnerable,NA,NA,yes
Garrulax cinereifrons,Vulnerable,NA,NA,yes
Garrulax sukatschewi,Vulnerable,NA,NA,yes
Arcanator orostruthus,Vulnerable,NA,NA,NA
Pellorneum palustre,Vulnerable,NA,NA,NA
Ptilocichla leucogrammica,Vulnerable,NA,NA,NA
Ptilocichla falcata,Vulnerable,NA,NA,NA
Zosterornis nigrorum,Endangered,NA,NA,NA
Chatarrhaea longirostris,Vulnerable,NA,NA,NA
Turdoides hindei,Vulnerable,yes,yes,yes
Schoeniparus variegaticeps,Vulnerable,NA,NA,yes
Paradoxornis flavirostris,Vulnerable,NA,yes,NA
Sinosuthora przewalskii,Vulnerable,NA,NA,yes
Mirafra ashi,Endangered,NA,NA,NA
Dicaeum retrocinctum,Vulnerable,NA,NA,NA
Hedydipna pallidigaster,Endangered,NA,NA,NA
Cinnyris loveridgei,Endangered,NA,NA,NA
Cinnyris rockefelleri,Vulnerable,NA,yes,yes
Cinnyris rufipennis,Vulnerable,NA,NA,NA
Aethopyga duyvenbodei,Endangered,NA,NA,NA
Macronyx sharpei,Endangered,NA,NA,NA
Anthus sokokensis,Endangered,NA,NA,NA
Anthus nilghiriensis,Vulnerable,NA,yes,NA
Ploceus bannermani,Vulnerable,NA,NA,NA
Ploceus batesi,Endangered,NA,yes,yes
Ploceus subpersonatus,Vulnerable,NA,NA,yes
Ploceus golandi,Endangered,NA,NA,NA
Ploceus aureonucha,Endangered,NA,NA,NA
Ploceus nicolli,Endangered,NA,yes,yes
Ploceus flavipes,Vulnerable,NA,NA,NA
Malimbus ibadanensis,Endangered,NA,yes,NA
Foudia rubra,Endangered,yes,NA,yes
Erythrura kleinschmidti,Vulnerable,NA,NA,NA
Lonchura vana,Vulnerable,NA,NA,NA
Crithagra flavigula,Endangered,NA,NA,yes
Crithagra xantholaema,Vulnerable,NA,NA,NA
Spinus siemiradzkii,Vulnerable,NA,yes,yes
Linaria johannis,Endangered,NA,NA,yes
Loxioides bailleui,Critically Endangered,yes,yes,NA
Pseudonestor xanthophrys,Critically Endangered,yes,yes,NA
Chlorodrepanis stejnegeri,Vulnerable,NA,yes,NA
Magumma parva,Vulnerable,yes,yes,NA
Hemignathus wilsoni,Endangered,yes,yes,NA
Manucerthia mana,Endangered,yes,yes,NA
Paroreomyza montana,Endangered,yes,yes,NA
Paroreomyza maculata,Critically Endangered,yes,yes,yes
Loxops coccineus,Endangered,yes,yes,NA
Drepanis coccinea,Vulnerable,yes,NA,NA
Palmeria dolei,Critically Endangered,yes,NA,NA
Emberiza sulphurata,Vulnerable,NA,NA,NA
Atlapetes pallidiceps,Endangered,NA,yes,yes
Pselliophorus luteoviridis,Vulnerable,NA,NA,NA
Catharopeza bishopi,Endangered,NA,NA,NA
Geothlypis speciosa,Endangered,NA,NA,NA
Cardellina versicolor,Vulnerable,NA,yes,NA
Basileuterus griseiceps,Endangered,NA,NA,NA
