assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
11231013,54948,Nymphargus balionota,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Nymphargus,balionota,NA,NA,NA,"(Duellman, 1981)",Vulnerable,"B2ab(iii,iv,v)",3.1,Decreasing,Global
11231957,54954,Nymphargus cochranae,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Nymphargus,cochranae,NA,NA,NA,"(Goin, 1961)",Vulnerable,B1ab(iii),3.1,Unknown,Global
11233360,54969,Nymphargus megacheirus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Nymphargus,megacheirus,NA,NA,NA,"(Lynch &amp; Duellman, 1973)",Endangered,"B1ab(iii,iv,v)+2ab(iii,iv,v)",3.1,Decreasing,Global
11234632,55002,Vitreorana antisthenesi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Vitreorana,antisthenesi,NA,NA,NA,"(Goin, 1963)",Vulnerable,B1ab(iii),3.1,Decreasing,Global
11239077,55015,Hyalinobatrachium fragile,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Hyalinobatrachium,fragile,NA,NA,NA,"(Rivero, 1985)",Vulnerable,B1ab(iii),3.1,Decreasing,Global
11239290,55016,Hyalinobatrachium guairarepanense,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Hyalinobatrachium,guairarepanense,NA,NA,NA,"SeÃ±aris, 2001",Endangered,B1ab(iii),3.1,Decreasing,Global
11240071,55019,Hyalinobatrachium ibama,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Hyalinobatrachium,ibama,NA,NA,NA,"RuÃ­z-Carranza &amp; Lynch, 1998",Vulnerable,B1ab(iii),3.1,Decreasing,Global
11240532,55092,Allobates humilis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,AROMOBATIDAE,Allobates,humilis,NA,NA,NA,"(Rivero, 1978)",Vulnerable,D2,3.1,Stable,Global
11241731,55025,Hyalinobatrachium orientale,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Hyalinobatrachium,orientale,NA,NA,NA,"(Rivero, 1968)",Vulnerable,B1ab(iii),3.1,Decreasing,Global
11241853,55098,Colostethus jacobuspetersi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,DENDROBATIDAE,Colostethus,jacobuspetersi,NA,NA,NA,"Rivero, 1991",Critically Endangered,"B2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
11242018,55026,Hyalinobatrachium pallidum,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Hyalinobatrachium,pallidum,NA,NA,NA,"(Rivero, 1985)",Endangered,B1ab(iii),3.1,Decreasing,Global
11243003,55031,Celsiella revocata,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Celsiella,revocata,NA,NA,NA,"(Rivero, 1985)",Vulnerable,B1ab(iii),3.1,Decreasing,Global
