scientificName
Magnolia odoratissima
Magnolia patungensis
Magnolia vazquezii
Propithecus candidus
Propithecus perrieri
Hapalemur aureus
Lepilemur septentrionalis
Consolea corallicola
Consolea falcata
Pilosocereus frewenii
Altiphrynoides osgoodi
Lagothrix flavicauda
Brachyteles hypoxanthus
Cercopithecus dryas
Phrynobatrachus manengoubensis
Atelopus nocturnus
Parantechinus apicalis
Myrmecobius fasciatus
Phalanger matanim
Petrogale sharmani
Dendrolagus scottae
Dendrolagus mayri
Dendrolagus pulcherrimus
Onychogalea fraenata
Lasiorhinus krefftii
Potorous gilbertii
Perameles bougainville
Pteropus aruensis
Eumops floridanus
Nyctalus lasiopterus
Lonchophylla dekeyseri
Lonchorhina fernandezi
Pteralopex taki
Myotis planiceps
Mirimiri acrodonta
Pteropus pselaphon
Pteropus rodricensis
Coleura seychellensis
Hipposideros hypophyllus
Murina tenebrosa
Phyllonycteris aphylla
Aproteles bulmerae
Rusa alfredi
Monodelphis unistriata
Caenolestes condorensis
Mesocapromys auritus
Mesocapromys sanfelipensis
Cavia intermedia
Santamartamys rufodorsalis
Dipodomys gravipes
Mystromys albicaudatus
Marmota vancouverensis
Crocidura trichura
Tylomys bullaris
Peromyscus mekisturus
Habromys simulatus
Reithrodontomys spectabilis
Gyldenstolpia fronto
Otomys barbouri
Uromys porculus
Uromys imperator
Zyzomys pedunculatus
Zyzomys palatalis
Porcula salvania
Babyrousa togeanensis
Equus africanus
Bunolagus monticularis
Lepus flavigularis
Lepus insularis
Mustela nigripes
Mustela felipei
Procyon pygmaeus
Viverra civettina
Neomonachus schauinslandi
Bos sauveli
Bubalus quarlesi
Capensibufo rosei
Paruwrobates andinus
Ectopoglossus atopoglossus
Centrolene medemi
Atelopus angelito
Atelopus chocoensis
Atelopus ebenoides
Atelopus eusebianus
Atelopus farci
Atelopus minutulus
Atelopus monohernandezii
Atelopus nicefori
Atelopus pachydermus
Atelopus pedimarmoratus
Atelopus petriruizi
Atelopus pictiventris
Atelopus quimbaya
Atelopus simulatus
Atelopus sonsonensis
Atelopus subornatus
Addax nasomaculatus
Cephalophus spadix
Beatragus hunteri
Gazella cuvieri
Nanger dama
Gazella leptoceros
Gazella marica
Oryx leucoryx
Tetracerus quadricornis
Lipotes vexillifer
Phocoena sinus
Eubalaena japonica
Eubalaena glacialis
Felis bieti
Felis nigripes
Lynx pardinus
Leopardus jacobita
Bubalus mindorensis
Oedipina petiola
Alnus djavanshirii
Alnus dolichocarpa
Betula gynoterminalis
Betula murrayana
Atelopus zeteki
Craugastor chrysozetetes
Craugastor cruzi
Craugastor epochthidius
Craugastor fecundus
Craugastor merendonensis
Craugastor olanchano
Craugastor saltuarius
Craugastor stadelmani
Atelopus lynchi
Atelopus ardila
Atelopus gigas
Atelopus orcesi
Atelopus pastuso
Nymphargus truebae
Camellia chrysanthoides
Camellia granthamiana
Camellia huana
Camellia ilicifolia
Camellia impressinervis
Camellia luteoflora
Camellia pingguoensis
Camellia transarisanensis
Polyspora ceylanica
Polyspora dassanayakei
Polyspora elliptica
Polyspora gardneri
Pyrenaria kwangsiensis
Pyrenaria maculatoclada
Pyrenaria oblongicarpa
Rhinolophus cohenae
Leiopelma hamiltoni
Magnolia crassifolia
Magnolia gentryi
Magnolia lacandonica
Magnolia mayae
Magnolia shuarorum
Magnolia jardinensis
Syngnathus watermeyeri
Camellia oconoriana
Magnolia cattienensis
Camellia inusitata
Camellia duyana
Camellia bugiamapensis
Camellia capitata
Sapajus flavius
Cuon alpinus
Axis kuhlii
Arthroleptella rugosa
Rhinoderma rufum
Telmatobius pefauri
Rhinella rubropunctata
Telmatobius fronteriensis
Sousa sahulensis
Euastacus dharawalus
Pristimantis albericoi
Rhaebo colomai
Strabomantis cheiroplethus
Pristimantis chrysops
Pristimantis caprifer
Pristimantis cacao
Pristimantis bernali
Pristimantis diaphonus
Pristimantis deinops
Pristimantis diogenes
Pristimantis molybrignus
Strabomantis necerus
Pristimantis pugnax
Nymphargus armatus
Centrolene geckoideum
Pristimantis signifer
Andinobates viridis
Pristimantis xylochobates
Allobates ranoides
Hyloxalus fascianigrus
Hyloxalus abditaurantius
Gastrotheca antomia
Gastrotheca angustifrons
Gastrotheca dendronastes
Martes gwatkinsii
Polyspora gioii
Gazella arabica
Magnolia fansipanensis
Magnolia viridipetala
Atelopus erythropus
Atelopus peruensis
Nannophryne cophotis
Ceratophrys stolzmanni
Pristimantis cosnipatae
Atelopus eusebiodiazi
Atelopus podocarpus
Abies nebrodensis
Hipposideros pendlebury
Hipposideros alongensis
Rhinopoma hadramauticum
Camellia azalea
Equus ferus
Dama mesopotamica
Atelopus exiguus
Atelopus guanujo
Atelopus halihelos
Atelopus ignescens
Atelopus mindoensis
Atelopus planispina
Hyloxalus delatorreae
Andinobates abditus
Atelopus onorei
Juniperus cedrus
Rhinella achalensis
Lycalopex fulvipes
Urocitellus brunneus
Pyrenaria buisanensis
Dryophytes suweonensis
Pyrenaria cherrapunjeana
Encephalartos sclavoi
Philautus jacobsoni
Pseudomys oralis
Betula klokovii
Urocitellus endemicus
Monachus monachus
Carpinus langaoensis
Eriosyce taltalensis
Echinocereus pulchellus
Eriosyce recondita
Cephalocereus nizandensis
Gymnocalycium marianae
Peniocereus castellae
Pachycereus militaris
Peniocereus fosterianus
Peniocereus tepalcatepecanus
Peniocereus rosei
Ailuropoda melanoleuca
Atelopus sernai
Widdringtonia whytei
Pteralopex pulchra
Pristimantis phragmipleuron
Mammillaria hernandezii
Arthroleptis krokosua
Nototriton mime
Gavialis gangeticus
Encephalartos cerinus
Encephalartos hirsutus
Encephalartos inopinus
Arabitragus jayakari
Canis rufus
Cycas fugax
Pseudoryx nghetinhensis
Lycaon pictus
Mesocapromys nanus
